,label,duration,segments,syllables
26,"ajal,",0.47538467870943535,"[0.23224737297841003, 0.08293055389275494, 0.07162184199828303, 0.08858490983998735]","[('a', 1, 1), ('jal', 2, 0)]"
27,nüüd,0.34846211016147777,"[0.08553071533922108, 0.106160290438428, 0.08849981699087195, 0.06827128739295674]","[('nüüd', 3, 1)]"
28,sina,0.21297580454362475,"[0.048059494365372046, 0.03461002699718563, 0.029665737426160632, 0.10064054575490644]","[('si', 1, 1), ('na', 1, 0)]"
29,riisud,0.5405369229786636,"[0.06225828329275629, 0.22685719307832386, 0.08216090511083962, 0.1025940085988033, 0.06666653289794056]","[('rii', 2, 1), ('sud', 2, 0)]"
30,"riide'eida,",1.019669492622885,"[0.07845237161586027, 0.22125695830344227, 0.06922005399437481, 0.12484331166842111, 0.12122989409149554, 0.1420535255656752, 0.08034470552918194, 0.18226867185443396]","[('rii', 2, 1), ('de', 1, 0), (""'ei"", 2, 1), ('da', 1, 0)]"
31,kakud,0.4958922286176559,"[0.04689424656454122, 0.12444138828438511, 0.16480075745769796, 0.08071873834662568, 0.07903709796440594]","[('ka', 2, 1), ('kud', 2, 0)]"
32,"kaelakardasida,",1.6634170746761292,"[0.07421205129773156, 0.1463027132532595, 0.11266990560883627, 0.05044921146664194, 0.15302927478214556, 0.13045231519904377, 0.15754478458049803, 0.10050000000000026, 0.0149552154195014, 0.13400000000000034, 0.09499999999999886, 0.11104478458049982, 0.12495521541950083, 0.25830160306847105]","[('kae', 2, 1), ('la', 2, 0), ('kar', 2, 0), ('da', 1, 0), ('si', 1, 0), ('da', 1, 0)]"
33,Võtke,0.47466997965346636,"[0.05349373633740839, 0.08468325147775246, 0.14379472240567637, 0.06981821356254869, 0.12288005587008044]","[('võt', 2, 1), ('ke', 1, 0)]"
34,kinni,0.4915620511124317,"[0.0963909623484156, 0.16337461973635925, 0.05445820657878642, 0.06086813644487776, 0.11647012600399265]","[('kin', 2, 1), ('ni', 1, 0)]"
35,"kuningas,",1.377160259483535,"[0.09104154042305979, 0.1830979229996217, 0.03274922199993213, 0.15119449343087865, 0.09796781627315099, 0.07248112994351885, 0.6516510925135321, 0.0969770418998408]","[('ku', 1, 1), ('nin', 2, 0), ('gas', 2, 0)]"
36,võtke,0.5407183780696556,"[0.10499424504968857, 0.08366316744714197, 0.1223961153393347, 0.10225498243539732, 0.12740986779809305]","[('võt', 2, 1), ('ke', 1, 0)]"
37,kinni,0.4861200268142838,"[0.07090282540994508, 0.15648110948447425, 0.06507135245888662, 0.05267680913338779, 0.14098793032759005]","[('kin', 2, 1), ('ni', 1, 0)]"
38,kuningas!,1.3165538853654937,"[0.08480348612204125, 0.1859181498825322, 0.03563431206082157, 0.154931791568778, 0.10690293618246471, 0.05577544496475895, 0.5270458144707177, 0.16554195011337924]","[('ku', 1, 1), ('nin', 2, 0), ('gas', 2, 0)]"
