,label,duration,segments,syllables
40,talu,0.709595802908833,[],"[('ta', 1, 1), ('lu', 1, 0)]"
41,taarinaga.,1.4550297776817516,[],"[('taa', 2, 1), ('ri', 1, 0), ('na', 1, 1), ('ga', 1, 0)]"
42,Kuidas,0.712945232851169,[],"[('kui', 2, 1), ('das', 2, 0)]"
43,kul´li,0.6138226252109575,[],"[('kul´', 2, 1), ('li', 1, 0)]"
44,küinekesed?,1.4327713754722353,[],"[('küi', 2, 1), ('ne', 2, 0), ('ke', 1, 0), ('sed', 2, 0)]"
45,Nii,0.3872653193215072,[],"[('nii', 3, 1)]"
46,kui,0.6854204419000638,[],"[('kui', 3, 1)]"
47,küla,0.7051006264263435,[],"[('kü', 1, 1), ('la', 1, 0)]"
48,kajukooku.,1.464899813634723,[],"[('ka', 1, 1), ('ju', 1, 0), ('koo', 2, 1), ('ku', 1, 0)]"
49,Kuidas,0.7212286700743107,[],"[('kui', 2, 1), ('das', 2, 0)]"
50,kul´li,0.6310010485947757,[],"[('kul´', 2, 1), ('li', 1, 0)]"
51,sabakene?,1.3607624716553204,[],"[('sa', 1, 1), ('ba', 2, 0), ('ke', 1, 0), ('ne', 1, 0)]"
52,Nii,0.32325765306121923,[],"[('nii', 3, 1)]"
53,kui,0.43891666666666396,[],"[('kui', 3, 1)]"
54,mõisa,0.6543750000000017,[],"[('mõi', 2, 1), ('sa', 1, 0)]"
55,tuuliluud,1.2929114910471498,[],"[('tuu', 2, 1), ('li', 1, 0), ('luud', 3, 1)]"
56,a.,0.12204712573291232,[],"[('a', 3, 1)]"
