,label,duration,segments,syllables
16,"kas´ke,",1.4912929619472255,[],"[('kas´', 2, 1), ('ke', 1, 0)]"
17,peame,0.5609158164377419,[],"[('pea', 2, 1), ('me', 1, 0)]"
18,teisi,0.575206665264183,[],"[('tei', 2, 1), ('si', 1, 0)]"
19,teenimä,0.8575099808694056,[],"[('tee', 2, 1), ('ni', 1, 0), ('mä', 1, 0)]"
20,ja,0.19286740787388368,[],"[('ja', 3, 1)]"
21,"kas´ke,",1.5381465164458419,[],"[('kas´', 2, 1), ('ke', 1, 0)]"
22,endi,0.5956448767006819,[],"[('en', 2, 1), ('di', 1, 0)]"
23,vara,0.553250000000002,[],"[('va', 1, 1), ('ra', 1, 0)]"
24,vaevama,0.907170918367342,[],"[('vae', 2, 1), ('va', 1, 0), ('ma', 1, 0)]"
25,ja!,0.243899332992914,[],"[('ja', 3, 1)]"
26,"kas´ke,",1.7282570019824135,[],"[('kas´', 2, 1), ('ke', 1, 0)]"
27,Teeni,0.4825885629838602,[],"[('tee', 2, 1), ('ni', 1, 0)]"
28,saksa,0.5289999999999999,[],"[('sak', 2, 1), ('sa', 1, 0)]"
29,sada,0.549000000000003,[],"[('sa', 1, 1), ('da', 1, 0)]"
30,aastat –,0.5930855471788341,[],"[('aas', 2, 1), ('tat', 2, 0), ('–', 3, 1)]"
31,"kas´ke,",1.7016684327211458,[],"[('kas´', 2, 1), ('ke', 1, 0)]"
32,saksal,0.486609115338112,[],"[('sak', 2, 1), ('sal', 2, 0)]"
33,sel´gäs,0.5343278533635711,[],"[('sel´', 2, 1), ('gäs', 2, 0)]"
34,"siidikuube,",1.0263828644159432,[],"[('sii', 2, 1), ('di', 1, 0), ('kuu', 2, 1), ('be', 1, 0)]"
35,"kas´ke,",1.7282570019824135,[],"[('kas´', 2, 1), ('ke', 1, 0)]"
36,vaesellapsel,1.0482635727550829,[],"[('vae', 2, 1), ('sel', 2, 0), ('lap', 2, 1), ('sel', 2, 0)]"
37,vanad,0.4924999999999997,[],"[('va', 1, 1), ('nad', 2, 0)]"
38,"riided,",0.5597333988850792,[],"[('rii', 2, 1), ('ded', 2, 0)]"
39,"kas´ke,",1.7282570019824135,[],"[('kas´', 2, 1), ('ke', 1, 0)]"
40,orjukesel,1.0594388083161732,[],"[('or', 2, 1), ('ju', 2, 0), ('ke', 1, 0), ('sel', 2, 0)]"
41,omad,0.372000000000007,[],"[('o', 1, 1), ('mad', 2, 0)]"
42,"riided,",0.589292455540182,[],"[('rii', 2, 1), ('ded', 2, 0)]"
43,"kas´ke,",1.6484912941986067,[],"[('kas´', 2, 1), ('ke', 1, 0)]"
44,pajupuust,0.6460144539176653,[],"[('pa', 1, 1), ('ju', 1, 0), ('puust', 3, 1)]"
45,oo,0.43519520620748864,[],"[('oo', 3, 1)]"
46,pastlad,0.5350547937925185,[],"[('past', 2, 1), ('lad', 2, 0)]"
47,"jalgas,",0.5905867947675603,[],"[('jal', 2, 1), ('gas', 2, 0)]"
48,"kas´ke,",1.7282570019824135,[],"[('kas´', 2, 1), ('ke', 1, 0)]"
49,kuusekoorest,0.9816488690663405,[],"[('kuu', 2, 1), ('se', 1, 0), ('koo', 2, 1), ('rest', 2, 0)]"
50,kuued,0.43244265518707437,[],"[('kuu', 2, 1), ('ed', 2, 0)]"
51,selgas.,0.5268740318191405,[],"[('sel', 2, 1), ('gas', 2, 0)]"
52,"kas´ke,",0.7751154452216866,[],"[('kas´', 2, 1), ('ke', 1, 0)]"
